protein,task_id
MAP3K13 (LZK),b8a3ed69-7d5a-4de8-8765-f990a63591ef
MAP3K9 (MLK1),64e12bd6-0af0-4748-b878-10b5100c054d
MAP3K10 (MLK2),76e74fed-641d-4e02-85e6-cbd7523673c5
MAP3K11 (MLK3),8bedf4f1-428d-4ff2-9ba8-b4102e8d8d69
MAP3K21 (MLK4),52f1b5f4-fb22-4b0d-aba8-99cf9c3a31dc
MAP3K7 (TAK1),b3bb9d20-435f-4ba8-8552-745c50c57390
MAP3K20 (ZAK),c4e9b700-5349-49a0-b3f3-f16ca49e63d4
KSR1 (KSR),dcf30eca-292b-4a5d-9a4d-6225076d7e48
KSR2,fef40adc-7c75-4043-9ea2-499e3835dc2c
ARAF,09aa22c7-f81a-40c8-a5ef-aa58b41c4977
BRAF,4e0b951f-c6bc-4bb9-9521-7942a3bef41f
RAF1,1a841166-332a-4fb2-85cd-4f8d5a068226
ANKK1 (SgK288),528f091a-8b37-4aca-81f4-c353d4feb6c9
ACVR1 (ALK2),535a3221-c476-4fbc-ac5d-c7a99c2aa97e
ACVR1B (ALK4),11fe97ac-3d28-407b-9c85-eb2bb994208e
ACVR1C (ALK7),34d89c51-9b02-4dd6-a944-728101d986be
ACVRL1 (ALK1),28d2a4e4-2526-4127-84bb-047a98bfe416
BMPR1A,5c5c6eae-2dde-4fe4-b467-1485d00cc15c
BMPR1B,aa485ea6-ed55-4416-9665-fc16e73ed0b0
TGFBR1 (TGFβR1),5dff22b6-7cb4-4164-b788-441cb77f96c9
ACVR2A (ACtR2),70eef6bf-94ff-4df7-8842-a9e45b8c3cea
ACVR2B (ACtR2B),f5b0ca5b-8884-4029-8ace-ead97f7e9611
AMHR2 (MISR2),6f2b16d4-0103-4d58-aab1-d7fc5ef341ea
BMPR2,4240996e-ecd7-4b87-a0c6-480274bb0f68
TGFBR2 (TGFβR2),c5b6b046-5d91-463a-ab82-80c3ecb6237c
MLKL,0669d135-2ce8-4347-a2fa-9e6ca5cf30b1
AURKA (AurA),a583dc58-0894-4ada-94cc-8f913020d0c3
AURKB (AurB),1581af7e-d0ae-45b1-9c7e-0764b822d5b5
AURKC (AurC),56217f3d-9ff7-4298-9561-a44c162fb4af
BUB1,407b7f91-f43c-418b-a8aa-667051b9a08c
BUB1B (BubR1),7917cb3b-4b0b-496c-9d44-df2af3d658a1
CAMKK1,a1c549a3-7db5-4cca-a935-bae55f88a972
CAMKK2,189d796e-a43a-4479-a812-46b72786ef93
CDC7,7df0c6dc-0a76-4da5-94ef-703e348caf69
DSTYK (SgK496),62626f5c-25fc-470a-9393-339866fcad66
HASPIN,75d44142-a159-4252-b043-dee6f9e2c748
CHUK (IKKα),403a3037-b96a-49c4-bb4f-6ea15e2eb7d3
IKBKB (IKKβ),5169b6d6-b9af-400e-9e7a-ea5ffe4eea2f
IKBKE (IKKε),df122e1a-416a-46c2-9844-1fac0941af50
